index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8472,2020-01-22,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8471,2020-01-23,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8470,2020-01-24,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8469,2020-01-25,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8468,2020-01-26,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8467,2020-01-27,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8466,2020-01-28,WA,53,2.0,0.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8465,2020-01-29,WA,53,3.0,0.0,,,,,0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1.327035928568841e-07,1.327035928568841e-07,inf,0.0,0.0,1.0,1.0,1.0,1.0
8464,2020-01-30,WA,53,3.0,0.0,,,,,0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1.327035928568841e-07,1.327035928568841e-07,0.0,0.0,0.0,0.0,0.5,,1.0
8463,2020-01-31,WA,53,3.0,0.0,,,,,0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1.327035928568841e-07,1.327035928568841e-07,0.0,0.0,0.0,0.0,0.3333333333333333,,1.0
8462,2020-02-01,WA,53,4.0,0.0,,,,,0,1.0,0.0,0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,,,,2.654071857137682e-07,2.654071857137682e-07,1.0,0.3333333333333333,0.0,0.0,0.25,1.0,1.0
8461,2020-02-02,WA,53,6.0,0.0,,,,,0,2.0,0.0,0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,,,,5.308143714275364e-07,5.308143714275364e-07,1.0,0.5,0.0,0.0,0.2,1.0,1.0
8460,2020-02-03,WA,53,7.0,0.0,,,,,0,1.0,0.0,0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,,,,6.635179642844205e-07,6.635179642844205e-07,0.25,0.45,0.0,0.0,0.16666666666666666,1.0,1.0
8459,2020-02-04,WA,53,8.0,0.0,,,,,0,1.0,0.0,0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,,,,7.962215571413045e-07,7.962215571413045e-07,0.2,0.4083333333333334,0.0,0.0,0.14285714285714285,1.0,1.0
8458,2020-02-05,WA,53,8.0,0.0,,,,,0,0.0,0.0,0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,,,,6.635179642844205e-07,6.635179642844205e-07,-0.16666666666666666,0.32619047619047625,0.0,0.0,0.0,-inf,1.0
8457,2020-02-06,WA,53,11.0,0.0,,,,,0,3.0,0.0,0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,,,,1.0616287428550728e-06,1.0616287428550728e-06,0.6,0.41190476190476194,0.0,0.0,0.0,1.0,1.0
8456,2020-02-07,WA,53,12.0,0.0,,,,,0,1.0,0.0,0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,,,,1.1943323357119568e-06,1.1943323357119568e-06,0.125,0.42976190476190484,0.0,0.0,0.0,1.0,1.0
8455,2020-02-08,WA,53,13.0,0.0,,,,,0,1.0,0.0,0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,,,,1.1943323357119568e-06,1.1943323357119568e-06,0.0,0.28690476190476194,0.0,0.0,0.0,0.0,0.8333333333333334
8454,2020-02-09,WA,53,13.0,0.0,,,,,0,0.0,0.0,0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,,,,9.289251499981886e-07,9.289251499981886e-07,-0.2222222222222222,0.11230158730158735,0.0,0.0,0.0,-inf,0.8
8453,2020-02-10,WA,53,16.0,0.0,,,,,0,3.0,0.0,0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,,,,1.1943323357119568e-06,1.1943323357119568e-06,0.2857142857142857,0.11740362811791386,0.0,0.0,0.0,0.6666666666666666,0.7333333333333334
8452,2020-02-11,WA,53,17.0,0.0,,,,,0,1.0,0.0,0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,,,,1.1943323357119568e-06,1.1943323357119568e-06,0.0,0.08883219954648529,0.0,0.0,0.0,0.0,0.5333333333333334
8451,2020-02-12,WA,53,18.0,0.0,,,,,0,1.0,0.0,0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,,,,1.327035928568841e-06,1.327035928568841e-06,0.1111111111111111,0.12851473922902498,0.0,0.0,0.0,1.0,0.6111111111111112
